11/2017;    0.37
12/2017;    0.14
01/2018;    0.09
02/2018;    0.06
03/2018;    0.05
04/2018;    0.21
05/2018;    1.20
06/2018;    3.02
07/2018;    3.21
08/2018;    2.59
09/2018;    1.62
10/2018;    0.67
11/2018;    0.35
12/2018;    0.13
01/2019;    0.09
02/2019;    0.06
03/2019;    0.07
04/2019;    0.14
05/2019;    1.19
06/2019;    3.01
07/2019;    3.24
08/2019;    2.60
09/2019;    1.63
10/2019;    0.66
11/2019;    0.30
12/2019;    0.12
01/2020;    0.09
02/2020;    0.06
03/2020;    0.07
04/2020;    0.21
05/2020;    1.23
06/2020;    3.05
07/2020;    3.21
08/2020;    2.57
09/2020;    1.59
10/2020;    0.63
11/2020;    0.29
12/2020;    0.12
01/2021;    0.08
02/2021;    0.06
03/2021;    0.07
04/2021;    0.22
05/2021;    1.22
06/2021;    3.06
07/2021;    3.20
08/2021;    2.57
09/2021;    1.59
10/2021;    0.61
11/2021;    0.31
12/2021;    0.13
01/2022;    0.09
02/2022;    0.06
03/2022;    0.07
04/2022;    0.21
05/2022;    1.27
06/2022;    3.05
07/2022;    3.18
08/2022;    2.57
09/2022;    1.59
10/2022;    0.62
11/2022;    0.34
12/2022;    0.12
01/2023;    0.09
02/2023;    0.06
03/2023;    0.07
04/2023;    0.19
