11/2017;    1.62
12/2017;    1.04
01/2018;    0.81
02/2018;    0.58
03/2018;    0.50
04/2018;    1.22
05/2018;    3.70
06/2018;    6.69
07/2018;    4.64
08/2018;    1.59
09/2018;    2.04
10/2018;    1.53
11/2018;    1.62
12/2018;    1.04
01/2019;    0.81
02/2019;    0.58
03/2019;    0.50
04/2019;    1.22
05/2019;    3.70
06/2019;    6.69
07/2019;    4.64
08/2019;    1.59
09/2019;    2.04
10/2019;    1.53
11/2019;    1.62
12/2019;    1.04
01/2020;    0.81
02/2020;    0.57
03/2020;    0.50
04/2020;    1.27
05/2020;    3.82
06/2020;    6.70
07/2020;    4.52
08/2020;    1.57
09/2020;    2.03
10/2020;    1.53
11/2020;    1.61
12/2020;    1.02
01/2021;    0.80
02/2021;    0.57
03/2021;    0.50
04/2021;    1.27
05/2021;    3.82
06/2021;    6.70
07/2021;    4.52
08/2021;    1.57
09/2021;    2.03
10/2021;    1.53
11/2021;    1.61
12/2021;    1.02
01/2022;    0.80
02/2022;    0.57
03/2022;    0.50
04/2022;    1.27
05/2022;    3.82
06/2022;    6.70
07/2022;    4.52
08/2022;    1.57
09/2022;    2.03
10/2022;    1.53
11/2022;    1.61
12/2022;    1.02
01/2023;    0.80
02/2023;    0.57
03/2023;    0.50
04/2023;    1.24
