11/2017;    0.45
12/2017;    0.15
01/2018;    0.09
02/2018;    0.06
03/2018;    0.07
04/2018;    0.31
05/2018;    1.41
06/2018;    2.85
07/2018;    3.15
08/2018;    2.76
09/2018;    1.80
10/2018;    0.82
11/2018;    0.45
12/2018;    0.15
01/2019;    0.09
02/2019;    0.06
03/2019;    0.07
04/2019;    0.31
05/2019;    1.41
06/2019;    2.85
07/2019;    3.15
08/2019;    2.76
09/2019;    1.80
10/2019;    0.82
11/2019;    0.45
12/2019;    0.15
01/2020;    0.09
02/2020;    0.06
03/2020;    0.08
04/2020;    0.32
05/2020;    1.46
06/2020;    2.87
07/2020;    3.14
08/2020;    2.74
09/2020;    1.75
10/2020;    0.80
11/2020;    0.44
12/2020;    0.14
01/2021;    0.09
02/2021;    0.06
03/2021;    0.08
04/2021;    0.32
05/2021;    1.46
06/2021;    2.87
07/2021;    3.14
08/2021;    2.74
09/2021;    1.75
10/2021;    0.80
11/2021;    0.44
12/2021;    0.14
01/2022;    0.09
02/2022;    0.06
03/2022;    0.08
04/2022;    0.32
05/2022;    1.46
06/2022;    2.87
07/2022;    3.14
08/2022;    2.74
09/2022;    1.75
10/2022;    0.80
11/2022;    0.44
12/2022;    0.14
01/2023;    0.09
02/2023;    0.06
03/2023;    0.08
04/2023;    0.31
