11/2017;    0.38
12/2017;    0.10
01/2018;    0.12
02/2018;    0.05
03/2018;    0.08
04/2018;    0.35
05/2018;    1.91
06/2018;    4.64
07/2018;    4.82
08/2018;    3.66
09/2018;    2.28
10/2018;    1.09
11/2018;    0.38
12/2018;    0.10
01/2019;    0.12
02/2019;    0.05
03/2019;    0.08
04/2019;    0.35
05/2019;    1.91
06/2019;    4.64
07/2019;    4.82
08/2019;    3.66
09/2019;    2.28
10/2019;    1.09
11/2019;    0.38
12/2019;    0.10
01/2020;    0.12
02/2020;    0.05
03/2020;    0.08
04/2020;    0.37
05/2020;    1.99
06/2020;    4.70
07/2020;    4.78
08/2020;    3.62
09/2020;    2.23
10/2020;    1.07
11/2020;    0.36
12/2020;    0.10
01/2021;    0.12
02/2021;    0.05
03/2021;    0.08
04/2021;    0.37
05/2021;    1.99
06/2021;    4.70
07/2021;    4.78
08/2021;    3.62
09/2021;    2.23
10/2021;    1.07
11/2021;    0.36
12/2021;    0.10
01/2022;    0.12
02/2022;    0.05
03/2022;    0.08
04/2022;    0.37
05/2022;    1.99
06/2022;    4.70
07/2022;    4.78
08/2022;    3.62
09/2022;    2.23
10/2022;    1.07
11/2022;    0.36
12/2022;    0.10
01/2023;    0.12
02/2023;    0.05
03/2023;    0.08
04/2023;    0.35
