11/2017;   62.75
12/2017;   62.78
01/2018;   58.80
02/2018;   57.76
03/2018;   48.38
04/2018;   38.20
05/2018;   31.42
06/2018;   31.49
07/2018;   31.93
08/2018;   32.39
09/2018;   37.43
10/2018;   45.03
11/2018;   50.38
12/2018;   51.95
01/2019;   57.12
02/2019;   56.61
03/2019;   47.21
04/2019;   35.68
05/2019;   29.04
06/2019;   28.40
07/2019;   30.05
08/2019;   29.99
09/2019;   34.65
10/2019;   41.52
11/2019;   47.24
12/2019;   51.87
01/2020;   59.96
02/2020;   61.10
03/2020;   51.32
04/2020;   37.80
05/2020;   29.65
06/2020;   29.91
07/2020;   31.01
08/2020;   30.96
09/2020;   36.95
10/2020;   44.05
11/2020;   50.13
12/2020;   55.31
01/2021;   61.91
02/2021;   63.21
03/2021;   53.65
04/2021;   39.29
05/2021;   30.67
06/2021;   31.49
07/2021;   32.07
08/2021;   32.53
09/2021;   38.46
10/2021;   45.50
11/2021;   52.52
12/2021;   57.52
01/2022;   63.46
02/2022;   64.44
03/2022;   54.79
04/2022;   40.04
05/2022;   32.32
06/2022;   31.85
07/2022;   32.37
08/2022;   33.42
09/2022;   40.15
10/2022;   48.51
11/2022;   54.91
12/2022;   55.79
01/2023;   63.46
02/2023;   64.44
03/2023;   54.79
04/2023;   40.33
