11/2017;    0.00
12/2017;    0.00
01/2018;    0.02
02/2018;    0.00
03/2018;    0.00
04/2018;    0.00
05/2018;    0.20
06/2018;    0.86
07/2018;    0.02
08/2018;    0.00
09/2018;    0.00
10/2018;    0.00
11/2018;    0.00
12/2018;    0.00
01/2019;    0.02
02/2019;    0.00
03/2019;    0.00
04/2019;    0.00
05/2019;    0.20
06/2019;    0.86
07/2019;    0.02
08/2019;    0.00
09/2019;    0.00
10/2019;    0.00
11/2019;    0.00
12/2019;    0.00
01/2020;    0.02
02/2020;    0.00
03/2020;    0.00
04/2020;    0.00
05/2020;    0.24
06/2020;    0.84
07/2020;    0.01
08/2020;    0.00
09/2020;    0.00
10/2020;    0.47
11/2020;    0.27
12/2020;    0.09
01/2021;    0.06
02/2021;    0.04
03/2021;    0.05
04/2021;    0.00
05/2021;    0.24
06/2021;    0.84
07/2021;    0.01
08/2021;    0.00
09/2021;    0.00
10/2021;    0.00
11/2021;    0.00
12/2021;    0.00
01/2022;    0.00
02/2022;    0.00
03/2022;    0.00
04/2022;    0.00
05/2022;    0.24
06/2022;    0.84
07/2022;    0.01
08/2022;    0.00
09/2022;    0.00
10/2022;    0.00
11/2022;    0.00
12/2022;    0.00
01/2023;    0.00
02/2023;    0.00
03/2023;    0.00
04/2023;    0.00
