11/2017;    4.20
12/2017;    4.04
01/2018;    3.52
02/2018;    2.75
03/2018;    0.80
04/2018;    1.42
05/2018;    4.24
06/2018;    6.52
07/2018;    5.08
08/2018;    2.88
09/2018;    3.37
10/2018;    2.11
11/2018;    3.45
12/2018;    3.42
01/2019;    4.57
02/2019;    1.63
03/2019;    0.00
04/2019;    0.00
05/2019;    1.29
06/2019;    6.47
07/2019;    5.19
08/2019;    2.92
09/2019;    3.44
10/2019;    2.13
11/2019;    1.62
12/2019;    2.11
01/2020;    4.77
02/2020;    5.02
03/2020;    1.91
04/2020;    1.23
05/2020;    4.81
06/2020;    6.47
07/2020;    5.03
08/2020;    2.82
09/2020;    3.49
10/2020;    2.11
11/2020;    1.60
12/2020;    2.50
01/2021;    4.64
02/2021;    4.97
03/2021;    1.81
04/2021;    1.51
05/2021;    4.30
06/2021;    6.56
07/2021;    4.95
08/2021;    2.87
09/2021;    3.47
10/2021;    1.78
11/2021;    1.87
12/2021;    2.65
01/2022;    4.73
02/2022;    4.98
03/2022;    1.61
04/2022;    1.52
05/2022;    4.46
06/2022;    6.51
07/2022;    4.85
08/2022;    2.92
09/2022;    3.46
10/2022;    1.79
11/2022;    2.29
12/2022;    1.79
01/2023;    4.89
02/2023;    5.06
03/2023;    1.72
04/2023;    1.45
