11/2017;    0.28
12/2017;    0.10
01/2018;    0.04
02/2018;    0.04
03/2018;    0.08
04/2018;    0.52
05/2018;    1.93
06/2018;    2.28
07/2018;    1.77
08/2018;    1.01
09/2018;    0.74
10/2018;    0.56
11/2018;    0.28
12/2018;    0.10
01/2019;    0.04
02/2019;    0.04
03/2019;    0.08
04/2019;    0.52
05/2019;    1.93
06/2019;    2.28
07/2019;    1.77
08/2019;    1.01
09/2019;    0.74
10/2019;    0.56
11/2019;    0.28
12/2019;    0.10
01/2020;    0.04
02/2020;    0.04
03/2020;    0.08
04/2020;    0.55
05/2020;    1.97
06/2020;    2.28
07/2020;    1.73
08/2020;    1.00
09/2020;    0.74
10/2020;    0.09
11/2020;    0.00
12/2020;    0.00
01/2021;    0.00
02/2021;    0.00
03/2021;    0.03
04/2021;    0.55
05/2021;    1.97
06/2021;    2.28
07/2021;    1.73
08/2021;    1.00
09/2021;    0.74
10/2021;    0.55
11/2021;    0.27
12/2021;    0.09
01/2022;    0.06
02/2022;    0.04
03/2022;    0.08
04/2022;    0.55
05/2022;    1.97
06/2022;    2.28
07/2022;    1.73
08/2022;    1.00
09/2022;    0.74
10/2022;    0.55
11/2022;    0.27
12/2022;    0.09
01/2023;    0.06
02/2023;    0.04
03/2023;    0.08
04/2023;    0.53
