11/2017;    0.01
12/2017;    0.00
01/2018;    0.00
02/2018;    0.00
03/2018;    0.00
04/2018;    0.00
05/2018;    0.18
06/2018;    0.64
07/2018;    0.51
08/2018;    0.23
09/2018;    0.14
10/2018;    0.08
11/2018;    0.01
12/2018;    0.00
01/2019;    0.00
02/2019;    0.00
03/2019;    0.00
04/2019;    0.00
05/2019;    0.18
06/2019;    0.64
07/2019;    0.51
08/2019;    0.23
09/2019;    0.15
10/2019;    0.08
11/2019;    0.01
12/2019;    0.00
01/2020;    0.00
02/2020;    0.00
03/2020;    0.00
04/2020;    0.00
05/2020;    0.19
06/2020;    0.65
07/2020;    0.49
08/2020;    0.23
09/2020;    0.14
10/2020;    0.08
11/2020;    0.01
12/2020;    0.00
01/2021;    0.00
02/2021;    0.00
03/2021;    0.00
04/2021;    0.00
05/2021;    0.19
06/2021;    0.65
07/2021;    0.49
08/2021;    0.23
09/2021;    0.14
10/2021;    0.08
11/2021;    0.01
12/2021;    0.00
01/2022;    0.00
02/2022;    0.00
03/2022;    0.00
04/2022;    0.00
05/2022;    0.19
06/2022;    0.65
07/2022;    0.49
08/2022;    0.23
09/2022;    0.14
10/2022;    0.08
11/2022;    0.01
12/2022;    0.00
01/2023;    0.00
02/2023;    0.00
03/2023;    0.00
04/2023;    0.00
