11/2017;    2.14
12/2017;    3.94
01/2018;    3.57
02/2018;    2.87
03/2018;    0.48
04/2018;    0.27
05/2018;    0.45
06/2018;    0.19
07/2018;    0.24
08/2018;    0.46
09/2018;    1.51
10/2018;    0.83
11/2018;    2.55
12/2018;    3.28
01/2019;    4.84
02/2019;    4.42
03/2019;    0.69
04/2019;    0.07
05/2019;    0.05
06/2019;    0.19
07/2019;    0.42
08/2019;    0.64
09/2019;    1.62
10/2019;    0.82
11/2019;    0.39
12/2019;    1.67
01/2020;    5.08
02/2020;    5.53
03/2020;    1.83
04/2020;    0.42
05/2020;    0.21
06/2020;    0.17
07/2020;    0.46
08/2020;    0.61
09/2020;    1.68
10/2020;    0.74
11/2020;    0.43
12/2020;    2.15
01/2021;    4.92
02/2021;    5.49
03/2021;    1.68
04/2021;    0.34
05/2021;    0.60
06/2021;    0.18
07/2021;    0.43
08/2021;    0.61
09/2021;    1.64
10/2021;    0.68
11/2021;    0.47
12/2021;    2.29
01/2022;    5.04
02/2022;    5.48
03/2022;    1.43
04/2022;    0.40
05/2022;    0.02
06/2022;    0.21
07/2022;    0.39
08/2022;    0.64
09/2022;    1.61
10/2022;    0.69
11/2022;    1.05
12/2022;    1.32
01/2023;    5.19
02/2023;    5.59
03/2023;    1.56
04/2023;    0.44
