11/2017;    0.09
12/2017;    0.03
01/2018;    0.02
02/2018;    0.01
03/2018;    0.01
04/2018;    0.08
05/2018;    0.21
06/2018;    0.65
07/2018;    0.76
08/2018;    0.59
09/2018;    0.36
10/2018;    0.16
11/2018;    0.11
12/2018;    0.03
01/2019;    0.02
02/2019;    0.00
03/2019;    0.00
04/2019;    0.02
05/2019;    0.14
06/2019;    0.59
07/2019;    0.80
08/2019;    0.58
09/2019;    0.36
10/2019;    0.15
11/2019;    0.11
12/2019;    0.03
01/2020;    0.02
02/2020;    0.01
03/2020;    0.01
04/2020;    0.06
05/2020;    0.17
06/2020;    0.61
07/2020;    0.75
08/2020;    0.55
09/2020;    0.36
10/2020;    0.13
11/2020;    0.12
12/2020;    0.03
01/2021;    0.02
02/2021;    0.01
03/2021;    0.06
04/2021;    0.04
05/2021;    0.02
06/2021;    0.60
07/2021;    0.71
08/2021;    0.57
09/2021;    0.35
10/2021;    0.15
11/2021;    0.10
12/2021;    0.03
01/2022;    0.02
02/2022;    0.01
03/2022;    0.01
04/2022;    0.06
05/2022;    0.19
06/2022;    0.60
07/2022;    0.68
08/2022;    0.57
09/2022;    0.35
10/2022;    0.14
11/2022;    0.11
12/2022;    0.03
01/2023;    0.02
02/2023;    0.01
03/2023;    0.01
04/2023;    0.02
